Distancia;Macrotextura;Lado;Remocao;Umidade_ensaio;Temperatura_ensaio;Idade_pavimento_meses;Temperatura_AISWEB;Umidade_AISWEB;Operacoes_medicoes;Operacoes_anual;Operacoes_remocoes;Coeficiente de atrito
200;1.11;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.63
400;0.82;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.68
600;0.97;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.61
800;0.95;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.77
1000;0.81;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.67
1200;1.04;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.68
1400;1.00;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.7
1600;1.16;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.67
1800;0.99;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.62
2000;0.80;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.59
2200;0.70;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.75
2400;0.85;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.77
200;0.90;0;1;60;33;30;28.99;63.62;14012;8260;14589;0.64
400;0.98;0;1;60;33;30;28.99;63.62;14012;8260;14589;0.68
600;1.27;0;1;60;33;30;28.99;63.62;14012;8260;14589;0.55
800;0.55;0;1;60;33;30;28.99;63.62;14012;8260;14589;0.73
1000;0.86;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.67
1200;0.91;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.68
1400;0.90;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.62
1600;0.97;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.60
1800;1.03;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.64
2000;0.97;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.68
2200;0.80;0;0;60;33;30;28.99;63.62;14012;8260;14589;0.88
2400;0.83;0;0;80;35;32;27.15;75.94;1939;14343;636;0.84
200;0.76;0;1;80;35;32;27.15;75.94;1939;14343;636;0.67
400;1.21;0;1;80;35;32;27.15;75.94;1939;14343;636;0.86
600;1.12;0;1;80;35;32;27.15;75.94;1939;14343;636;0.82
800;0.82;0;1;80;35;32;27.15;75.94;1939;14343;636;0.92
1000;0.79;0;0;80;35;32;27.15;75.94;1939;14343;636;0.88
1200;0.90;0;0;80;35;32;27.15;75.94;1939;14343;636;1
1400;0.90;0;0;80;35;32;27.15;75.94;1939;14343;636;0.97
1600;0.91;0;0;80;35;32;27.15;75.94;1939;14343;636;0.88
1800;1.04;0;0;80;35;32;27.15;75.94;1939;14343;636;0.8
2000;0.95;0;0;80;35;32;27.15;75.94;1939;14343;636;0.78
2200;0.83;0;0;80;35;32;27.15;75.94;1939;14343;636;0.88
2400;0.84;0;0;80;35;32;27.15;75.94;1939;14343;636;0.81
200;1.10;0;0;80;35;32;27.15;75.94;1939;14343;636;0.64
400;0.86;0;0;80;35;32;27.15;75.94;1939;14343;636;0.84
600;1.02;0;0;80;35;32;27.15;75.94;1939;14343;636;0.91
800;1.00;0;0;80;35;32;27.15;75.94;1939;14343;636;0.94
