Distancia_medicao;Lado;Remocao_anterior;Idade_pavimento_meses;Temperatura_ensaio;Umidade_AISWEB;Operacoes_medicoes;Operacoes_anual;Operacoes_remocoes;Atrito;Nivel de atrito
200;0;0;30;33;63.62;14012;8260;14589;0.63;0.6 e 0.65
300;0;0;30;33;63.62;14012;8260;14589;0.71;0.7 e 0.75
400;0;0;30;33;63.62;14012;8260;14589;0.68;0.65 e 0.7
500;0;0;30;33;63.62;14012;8260;14589;0.65;0.65 e 0.7
600;0;0;30;33;63.62;14012;8260;14589;0.61;0.6 e 0.65
700;0;0;30;33;63.62;14012;8260;14589;0.68;0.65 e 0.7
800;0;0;30;33;63.62;14012;8260;14589;0.77;0.75 e 0.8
900;0;0;30;33;63.62;14012;8260;14589;0.69;0.65 e 0.7
1000;0;0;30;33;63.62;14012;8260;14589;0.67;0.65 e 0.7
1100;0;0;30;33;63.62;14012;8260;14589;0.66;0.65 e 0.7
1200;0;0;30;33;63.62;14012;8260;14589;0.68;0.65 e 0.7
1300;0;0;30;33;63.62;14012;8260;14589;0.71;0.7 e 0.75
1400;0;0;30;33;63.62;14012;8260;14589;0.7;0.7 e 0.75
1500;0;0;30;33;63.62;14012;8260;14589;0.71;0.7 e 0.75
1600;0;0;30;33;63.62;14012;8260;14589;0.67;0.65 e 0.7
1700;0;0;30;33;63.62;14012;8260;14589;0.61;0.6 e 0.65
1800;0;0;30;33;63.62;14012;8260;14589;0.62;0.6 e 0.65
1900;0;0;30;33;63.62;14012;8260;14589;0.6;0.6 e 0.65
2000;0;0;30;33;63.62;14012;8260;14589;0.59;0.55 e 0.6
2100;0;0;30;33;63.62;14012;8260;14589;0.72;0.7 e 0.75
2200;0;0;30;33;63.62;14012;8260;14589;0.75;0.75 e 0.8
2300;0;0;30;33;63.62;14012;8260;14589;0.73;0.7 e 0.75
2400;0;0;30;33;63.62;14012;8260;14589;0.77;0.75 e 0.8
200;0;1;32;35;75.94;1939;14343;636;0.64;0.6 e 0.65
300;0;1;32;35;75.94;1939;14343;636;0.73;0.7 e 0.75
400;0;1;32;35;75.94;1939;14343;636;0.68;0.65 e 0.7
500;0;1;32;35;75.94;1939;14343;636;0.57;0.55 e 0.6
600;0;1;32;35;75.94;1939;14343;636;0.55;0.55 e 0.6
700;0;1;32;35;75.94;1939;14343;636;0.69;0.65 e 0.7
800;0;1;32;35;75.94;1939;14343;636;0.73;0.7 e 0.75
900;0;1;32;35;75.94;1939;14343;636;0.66;0.65 e 0.7
1000;0;0;32;35;75.94;1939;14343;636;0.67;0.65 e 0.7
1100;0;0;32;35;75.94;1939;14343;636;0.64;0.6 e 0.65
1200;0;0;32;35;75.94;1939;14343;636;0.68;0.65 e 0.7
1300;0;0;32;35;75.94;1939;14343;636;0.71;0.7 e 0.75
1400;0;0;32;35;75.94;1939;14343;636;0.62;0.6 e 0.65
1500;0;0;32;35;75.94;1939;14343;636;0.7;0.7 e 0.75
1600;0;0;32;35;75.94;1939;14343;636;0.6;0.6 e 0.65
1700;0;0;32;35;75.94;1939;14343;636;0.72;0.7 e 0.75
1800;0;0;32;35;75.94;1939;14343;636;0.64;0.6 e 0.65
1900;0;0;32;35;75.94;1939;14343;636;0.59;0.55 e 0.6
2000;0;0;32;35;75.94;1939;14343;636;0.68;0.65 e 0.7
2100;0;0;32;35;75.94;1939;14343;636;0.88;0.85 e 0.9
2200;0;0;32;35;75.94;1939;14343;636;0.88;0.85 e 0.9
2300;0;0;32;35;75.94;1939;14343;636;0.86;0.85 e 0.9
2400;0;0;32;35;75.94;1939;14343;636;0.84;0.8 e 0.85
200;0;0;33;35;66.09;4323;18666;4959;0.7;0.7 e 0.75
300;0;0;33;35;66.09;4323;18666;4959;0.78;0.75 e 0.8
400;0;0;33;35;66.09;4323;18666;4959;0.76;0.75 e 0.8
500;0;0;33;35;66.09;4323;18666;4959;0.82;0.8 e 0.85
600;0;0;33;35;66.09;4323;18666;4959;0.75;0.75 e 0.8
700;0;0;33;35;66.09;4323;18666;4959;0.9;0.9 e 0.95
800;0;0;33;35;66.09;4323;18666;4959;0.9;0.9 e 0.95
900;0;0;33;35;66.09;4323;18666;4959;0.84;0.8 e 0.85
1000;0;0;33;35;66.09;4323;18666;4959;0.85;0.85 e 0.9
1100;0;0;33;35;66.09;4323;18666;4959;0.86;0.85 e 0.9
1200;0;0;33;35;66.09;4323;18666;4959;0.91;0.9 e 0.95
1300;0;0;33;35;66.09;4323;18666;4959;0.93;0.9 e 0.95
1400;0;0;33;35;66.09;4323;18666;4959;0.94;0.9 e 0.95
1500;0;0;33;35;66.09;4323;18666;4959;0.94;0.9 e 0.95
1600;0;0;33;35;66.09;4323;18666;4959;0.89;0.85 e 0.9
